Last ,IV,Strike
174,22.69%,1900
193.9,22.58%,1905
98.2,22.05%,1910
192.09,22.22%,1915
113.95,21.68%,1920
182.47,21.45%,1925
161.95,21.18%,1930
127.55,21.14%,1935
132.28,20.81%,1940
148.95,20.46%,1945
129.75,20.09%,1950
153.15,19.90%,1955
74,19.66%,1960
117.16,19.23%,1965
127,18.94%,1970
93.65,18.62%,1975
122.95,18.40%,1980
74.5,18.02%,1985
118.35,17.74%,1990
104,17.31%,1995
103.55,17.25%,2000
100,16.85%,2005
97.85,16.51%,2010
94.3,16.06%,2015
83,15.81%,2020
81.9,15.43%,2025
76.55,15.28%,2030
72.2,14.87%,2035
67.55,14.49%,2040
66.48,14.16%,2045
58.45,13.88%,2050
54.43,13.48%,2055
50.59,13.25%,2060
44.45,12.89%,2065
40.4,12.59%,2070
36.8,12.27%,2075
32.65,12.04%,2080
30.58,11.71%,2085
26.9,11.56%,2090
22.8,11.27%,2095
19.05,10.68%,2100
16.1,10.62%,2105
13.4,10.31%,2110
11.05,10.10%,2115
8.85,9.78%,2120
7.3,9.51%,2125
5.5,9.31%,2130
4.15,9.15%,2135
2.97,8.99%,2140
2.3,8.85%,2145
1.64,8.81%,2150
1.2,8.47%,2155
1.01,9.04%,2160
0.79,8.95%,2165
0.65,8.84%,2170
0.6,9.29%,2175
0.4,9.25%,2180
0.43,9.85%,2185
0.35,10.23%,2190
0.28,10.47%,2195
0.25,10.33%,2200
