Current Value,Quantity,S&P 
9998.24,1,211.12
9995.63,2,211.66
9994.4,3,211.52
9986.27,4,211.26
9999.57,5,210.78
10001.4,6,211.47
10009.1,7,210.4
10032.3,8,210.62
10022.5,9,209.42
10027.5,10,207.74
10000.2,11,206.71
9967.57,12,205.29
9991.38,13,205.26
9957.24,14,206.77
9993.69,15,206.71
10039.3,16,207.69
10027,17,207.39
10063.3,18,209.96
10052,19,209.71
10034.4,20,210.42
10078.9,21,209.85
10081.7,22,209.07
10126.6,23,204.96
10147,24,205.13
10155.7,25,206.98
10156.7,26,207.26
10153.3,27,206.39
10189.1,28,205.62
10188.5,29,205.37
10206.6,30,207.86
10201.2,31,207.55
10193.3,32,207.78
10169.7,33,209.2
10214.8,34,209.87
10184.8,35,208.85
10153.5,36,210.05
10161.6,37,210.03
10050.2,38,208.94
10083.5,39,209.06
9949.94,40,210.67
9929.95,41,210.01
10038.4,42,210.15
9984.11,43,211.66
10104.2,44,212.33
10077.2,45,210.74
10192.8,46,210.37
10148.2,47,209.88
10191.6,48,209.4
10171.5,49,211.23
10112.7,50,211.03
9956.38,51,209.56
9931.7,52,207.92
9956.75,53,210.88
10091,54,211.57
9991.94,55,209.61
9951.1,56,210.47
9993.36,57,211.24
10075.1,58,212.44
10042.6,59,212.24
10084.3,60,213.24
10140.6,61,213.15
10211,62,212.71
10151.3,63,213.04
10177.2,64,212.4
10237.7,65,211.25
10234.1,66,212.33
10073.4,67,212.38
10201.5,68,211.94
10183.5,69,211.02
10255.1,70,212
10293.3,71,211.07
10328,72,209.95
10263.1,73,209.64
10312.7,74,208.45
10248.5,75,209.37
10088.9,76,211.48
10262,77,210.64
10308.2,78,208.64
10117.3,79,208.93
10047.9,80,210.59
10115.2,81,211.31
10338.7,82,211.46
10255,83,211.91
10203,84,212.14
10205.9,85,211.72
10393.1,86,211.1
10412.8,87,210.29
10471.1,88,208.05
10464.7,89,207.26
10451.1,90,207.73
10507.7,91,208.07
10461.3,92,205.77
10248.9,93,206.96
10436.3,94,206.42
10413.9,95,207.04
10287.3,96,207.29
10328.2,97,208.99
10308.1,98,209.72
10362.9,99,210.73
10184.8,100,211.87
10148.6,101,212.29
10017.2,102,212.75
10014.1,103,212.43
10274.2,104,210.93
10344.1,105,211.53
10173.3,106,210.3
10077.3,107,206.94
10201.7,108,207.79
10238.4,109,209.48
10478.6,110,210.16
10261.2,111,211.42
10381.1,112,210.46
10398.9,113,209.7
10223.7,114,210.45
10148.4,115,210.29
10143.3,116,208.16
9630.26,117,209.28
9679.16,118,208.97
9873.63,119,207.11
9851.46,120,208.73
